"DADOS DO MUNICÍPIO - 

Nome do município
cod:municipio","DADOS DO MUNICÍPIO - 

Código IBGE (6 dígitos)
cod:ibge6","DADOS DO MUNICÍPIO - 

Código IBGE (7 dígitos)
cod:ibge7","Municipios que aderiram ao Criança Feliz.

Fonte: Sedese/DSBS/Consulta em 15/06/2026","Municipios com o serviço Família Acolhedora 

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para Criança e Adolescente

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para Idosos

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para PCD

Fonte: MDS/CadSUAS. Consulta em 15/06/2026"
DELFINOPOLIS,312120,3121209,-,0,0,1,
DELTA,312125,3121258,-,0,1,0,
DESCOBERTO,312130,3121308,-,0,0,1,
DESTERRO DE ENTRE RIOS,312140,3121407,-,1,1,1,
DESTERRO DO MELO,312150,3121506,-,0,0,1,
DIAMANTINA,312160,3121605,-,1,2,2,
DIOGO DE VASCONCELOS,312170,3121704,-,0,0,0,
DIONISIO,312180,3121803,Aderiu,0,0,0,
DIVINESIA,312190,3121902,-,1,1,0,
DIVINO,312200,3122009,Aderiu,0,1,3,
DIVINO DAS LARANJEIRAS,312210,3122108,Aderiu,0,0,0,
DIVINOLANDIA DE MINAS,312220,3122207,Aderiu,0,1,0,
DIVINOPOLIS,312230,3122306,-,1,5,2,
DIVISA ALEGRE,312235,3122355,Aderiu,0,0,0,
DIVISA NOVA,312240,3122405,-,0,0,0,
DIVISOPOLIS,312245,3122454,Aderiu,0,0,0,
DOM BOSCO,312247,3122470,-,0,0,0,
DOM CAVATI,312250,3122504,-,0,1,0,
DOM JOAQUIM,312260,3122603,-,0,1,0,
DOM SILVERIO,312270,3122702,-,0,0,1,
DOM VICOSO,312280,3122801,-,0,0,0,
DONA EUZEBIA,312290,3122900,-,0,0,0,
DORES DE CAMPOS,312300,3123007,-,0,0,0,
DORES DE GUANHAES,312310,3123106,-,0,0,0,
DORES DO INDAIA,312320,3123205,-,0,1,1,
DORES DO TURVO,312330,3123304,-,0,0,1,
DORESOPOLIS,312340,3123403,-,0,0,0,
DOURADOQUARA,312350,3123502,-,0,0,0,
DURANDE,312352,3123528,-,0,0,0,
ELOI MENDES,312360,3123601,-,0,1,1,
ENGENHEIRO CALDAS,312370,3123700,-,0,1,0,
ENGENHEIRO NAVARRO,312380,3123809,Aderiu,0,1,0,
ENTRE FOLHAS,312385,3123858,-,0,0,0,
ENTRE RIOS DE MINAS,312390,3123908,-,0,0,1,
ERVALIA,312400,3124005,Aderiu,0,1,0,
ESMERALDAS,312410,3124104,Aderiu,0,1,1,
ESPERA FELIZ,312420,3124203,-,0,1,1,
ESPINOSA,312430,3124302,Aderiu,0,1,0,
ESPIRITO SANTO DO DOURADO,312440,3124401,Aderiu,0,0,0,
ESTIVA,312450,3124500,Aderiu,0,0,0,
ESTRELA DALVA,312460,3124609,-,0,0,0,
ESTRELA DO INDAIA,312470,3124708,-,0,0,1,
ESTRELA DO SUL,312480,3124807,-,0,0,1,
EUGENOPOLIS,312490,3124906,Aderiu,0,0,1,
EWBANK DA CAMARA,312500,3125002,Aderiu,0,0,0,
EXTREMA,312510,3125101,Aderiu,0,2,1,
FAMA,312520,3125200,-,0,0,0,
FARIA LEMOS,312530,3125309,-,0,0,0,
FELICIO DOS SANTOS,312540,3125408,Aderiu,0,0,1,
FELISBURGO,312560,3125606,Aderiu,0,0,0,
FELIXLANDIA,312570,3125705,Aderiu,0,1,1,
FERNANDES TOURINHO,312580,3125804,-,0,0,0,
FERROS,312590,3125903,Aderiu,1,1,1,
FERVEDOURO,312595,3125952,Aderiu,0,0,0,
FLORESTAL,312600,3126000,-,0,0,1,
FORMIGA,312610,3126109,-,0,1,1,
FORMOSO,312620,3126208,Aderiu,0,1,0,
FORTALEZA DE MINAS,312630,3126307,-,0,0,0,
FORTUNA DE MINAS,312640,3126406,-,0,0,0,
FRANCISCO BADARO,312650,3126505,Aderiu,0,0,0,
FRANCISCO DUMONT,312660,3126604,Aderiu,0,1,0,
FRANCISCO SA,312670,3126703,Aderiu,0,2,0,
FRANCISCOPOLIS,312675,3126752,Aderiu,0,0,0,
FREI GASPAR,312680,3126802,Aderiu,0,0,0,
FREI INOCENCIO,312690,3126901,Aderiu,1,1,1,
FREI LAGONEGRO,312695,3126950,-,0,0,0,
FRONTEIRA,312700,3127008,-,0,0,0,
FRONTEIRA DOS VALES,312705,3127057,Aderiu,1,1,0,
FRUTA DE LEITE,312707,3127073,Aderiu,0,0,0,
FRUTAL,312710,3127107,Aderiu,0,1,1,
FUNILANDIA,312720,3127206,Aderiu,1,1,0,
GALILEIA,312730,3127305,Aderiu,0,1,0,
GAMELEIRAS,312733,3127339,Aderiu,1,1,0,
GLAUCILANDIA,312735,3127354,-,0,0,0,
GOIABEIRA,312737,3127370,-,0,0,0,
GOIANA,312738,3127388,-,1,2,0,
GONCALVES,312740,3127404,-,0,0,0,
GONZAGA,312750,3127503,Aderiu,0,0,0,
GOUVEIA,312760,3127602,Aderiu,0,0,1,
GOVERNADOR VALADARES,312770,3127701,-,1,7,3,
GRAO MOGOL,312780,3127800,Aderiu,0,1,0,
GRUPIARA,312790,3127909,-,0,0,0,
GUANHAES,312800,3128006,-,0,1,0,
GUAPE,312810,3128105,Aderiu,0,0,1,
GUARACIABA,312820,3128204,-,1,1,1,
GUARACIAMA,312825,3128253,Aderiu,0,1,0,
GUARANESIA,312830,3128303,-,1,1,3,
GUARANI,312840,3128402,Aderiu,0,0,1,
GUARARA,312850,3128501,-,0,0,0,
GUARDA-MOR,312860,3128600,-,0,1,0,
GUAXUPE,312870,3128709,-,0,3,2,
GUIDOVAL,312880,3128808,-,0,0,1,
GUIMARANIA,312890,3128907,Aderiu,0,0,1,
GUIRICEMA,312900,3129004,-,0,0,0,
GURINHATA,312910,3129103,-,0,0,1,
HELIODORA,312920,3129202,-,0,0,0,
IAPU,312930,3129301,Aderiu,0,0,0,
IBERTIOGA,312940,3129400,-,0,0,0,
IBIA,312950,3129509,Aderiu,0,0,1,
IBIAI,312960,3129608,Aderiu,0,0,0,
IBIRACATU,312965,3129657,-,0,0,0,
IBIRACI,312970,3129707,-,1,1,1,
IBIRITE,312980,3129806,Aderiu,0,1,1,
IBITIURA DE MINAS,312990,3129905,-,0,0,1,
IBITURUNA,313000,3130002,-,0,0,1,
ICARAI DE MINAS,313005,3130051,Aderiu,0,0,0,
IGARAPE,313010,3130101,-,0,1,1,
IGARATINGA,313020,3130200,-,0,0,1,
IGUATAMA,313030,3130309,-,1,1,1,
IJACI,313040,3130408,-,0,0,0,
ILICINEA,313050,3130507,-,0,0,1,
IMBE DE MINAS,313055,3130556,Aderiu,1,1,0,
INCONFIDENTES,313060,3130606,-,0,0,0,
INDAIABIRA,313065,3130655,Aderiu,0,1,0,
INDIANOPOLIS,313070,3130705,-,0,0,0,
INGAI,313080,3130804,-,0,0,1,
INHAPIM,313090,3130903,Aderiu,0,1,1,
INHAUMA,313100,3131000,Aderiu,0,0,0,
INIMUTABA,313110,3131109,-,0,0,1,
IPABA,313115,3131158,-,0,1,0,
IPANEMA,313120,3131208,Aderiu,0,1,2,
IPATINGA,313130,3131307,-,1,4,4,
IPIACU,313140,3131406,-,0,0,1,
IPUIUNA,313150,3131505,-,0,0,1,
IRAI DE MINAS,313160,3131604,-,0,0,0,
ITABIRA,313170,3131703,-,1,3,1,
ITABIRINHA,313180,3131802,Aderiu,0,0,0,
ITABIRITO,313190,3131901,-,0,2,1,
ITACAMBIRA,313200,3132008,Aderiu,0,0,0,
ITACARAMBI,313210,3132107,Aderiu,0,0,0,
ITAGUARA,313220,3132206,Aderiu,0,0,1,
ITAIPE,313230,3132305,Aderiu,0,1,0,
ITAJUBA,313240,3132404,Aderiu,0,1,2,
ITAMARANDIBA,313250,3132503,-,1,2,3,
ITAMARATI DE MINAS,313260,3132602,-,0,0,0,
ITAMBACURI,313270,3132701,Aderiu,0,1,1,
ITAMBE DO MATO DENTRO,313280,3132800,-,1,1,0,
ITAMOGI,313290,3132909,Aderiu,0,0,1,
ITAMONTE,313300,3133006,-,0,0,1,
ITANHANDU,313310,3133105,-,0,0,0,
ITANHOMI,313320,3133204,-,0,1,0,
ITAOBIM,313330,3133303,-,0,1,0,
ITAPAGIPE,313340,3133402,Aderiu,0,1,0,
ITAPECERICA,313350,3133501,-,0,0,1,
ITAPEVA,313360,3133600,Aderiu,1,1,0,
ITATIAIUCU,313370,3133709,-,0,1,1,
ITAU DE MINAS,313375,3133758,-,0,0,1,
ITAUNA,313380,3133808,-,0,2,2,
ITAVERAVA,313390,3133907,-,0,0,0,
ITINGA,313400,3134004,Aderiu,0,1,0,
ITUETA,313410,3134103,-,0,0,0,
ITUIUTABA,313420,3134202,Aderiu,1,2,2,
ITUMIRIM,313430,3134301,-,0,0,0,
ITURAMA,313440,3134400,Aderiu,0,1,2,
ITUTINGA,313450,3134509,-,0,0,0,
JABOTICATUBAS,313460,3134608,-,0,1,1,
JACINTO,313470,3134707,Aderiu,0,1,0,
JACUI,313480,3134806,-,0,0,1,
JACUTINGA,313490,3134905,-,0,1,1,
JAGUARACU,313500,3135001,-,0,0,0,
JAIBA,313505,3135050,Aderiu,0,1,1,
JAMPRUCA,313507,3135076,Aderiu,0,0,0,
JANAUBA,313510,3135100,Aderiu,0,2,1,
JANUARIA,313520,3135209,-,0,1,2,
JAPARAIBA,313530,3135308,-,1,1,0,
JAPONVAR,313535,3135357,Aderiu,0,0,0,
JECEABA,313540,3135407,-,0,0,0,
JENIPAPO DE MINAS,313545,3135456,-,0,0,0,
JEQUERI,313550,3135506,Aderiu,0,0,1,
JEQUITAI,313560,3135605,Aderiu,0,0,1,
JEQUITIBA,313570,3135704,-,0,0,0,
JEQUITINHONHA,313580,3135803,Aderiu,0,1,1,
JESUANIA,313590,3135902,-,0,0,0,
JOAIMA,313600,3136009,-,0,0,1,
JOANESIA,313610,3136108,-,0,0,0,
JOAO MONLEVADE,313620,3136207,-,0,1,1,
JOAO PINHEIRO,313630,3136306,Aderiu,0,1,1,
JOAQUIM FELICIO,313640,3136405,-,0,0,1,
JORDANIA,313650,3136504,Aderiu,0,0,0,
JOSE GONCALVES DE MINAS,313652,3136520,Aderiu,0,0,0,
JOSE RAYDAN,313655,3136553,-,0,0,0,
JOSENOPOLIS,313657,3136579,Aderiu,0,0,0,
JUATUBA,313665,3136652,-,0,1,0,
JUIZ DE FORA,313670,3136702,-,1,9,3,
JURAMENTO,313680,3136801,-,0,0,0,
JURUAIA,313690,3136900,-,0,0,1,
JUVENILIA,313695,3136959,Aderiu,0,0,0,
LADAINHA,313700,3137007,-,1,2,1,
LAGAMAR,313710,3137106,-,0,0,0,
LAGOA DA PRATA,313720,3137205,-,1,2,2,
LAGOA DOS PATOS,313730,3137304,Aderiu,0,0,0,
LAGOA DOURADA,313740,3137403,Aderiu,0,0,0,
LAGOA FORMOSA,313750,3137502,-,0,0,1,
LAGOA GRANDE,313753,3137536,Aderiu,0,0,1,
LAGOA SANTA,313760,3137601,-,0,1,2,
LAJINHA,313770,3137700,-,0,0,1,
LAMBARI,313780,3137809,Aderiu,0,0,1,
LAMIM,313790,3137908,-,0,0,0,
LARANJAL,313800,3138005,-,0,0,1,
LASSANCE,313810,3138104,Aderiu,0,0,1,
